Time,Humidity,Temperature
2019-03-10-19:05:34,53,32
2019-03-10-19:05:37,53,32
2019-03-10-19:05:40,53,32
2019-03-10-19:05:43,53,32
2019-03-10-19:05:45,53,32
2019-03-10-19:09:38,53.0,32.0
2019-03-10-19:10:09,53.0,32.0
2019-03-10-19:10:09,53.0,32.0
2019-03-10-19:10:09,53.0,32.0
2019-03-10-19:10:09,53.0,32.0
2019-03-10-19:10:09,53.0,32.0
2019-03-10-19:10:09,54.0,33.0
2019-03-10-19:10:09,53.0,32.0
2019-03-10-19:10:09,54.0,33.0
2019-03-10-19:10:09,53.0,33.0
2019-03-10-19:10:09,54.0,33.0
2019-03-10-19:10:09,53.0,33.0
2019-03-11-06:27:08,37.0,30.0
2019-03-11-06:27:08,37.0,29.0
2019-03-11-06:27:08,37.0,29.0
2019-03-11-06:27:08,37.0,29.0
2019-03-11-06:27:08,37.0,29.0
2019-03-11-07:48:21,37.0,29.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,41.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,40.0,28.0
2019-03-11-07:48:21,47.0,28.0
2019-03-11-07:48:21,57.0,28.0
2019-03-11-07:48:21,69.0,29.0
2019-03-11-07:48:21,73.0,29.0
2019-03-11-07:48:21,74.0,29.0
2019-03-11-07:48:21,67.0,29.0
2019-03-11-07:48:21,62.0,29.0
2019-03-11-07:48:21,58.0,29.0
2019-03-11-07:48:21,55.0,29.0
2019-03-11-07:48:21,52.0,29.0
2019-03-11-07:48:21,50.0,29.0
2019-03-11-07:48:21,48.0,29.0
2019-03-11-07:51:06,47.0,29.0
2019-03-11-07:51:06,40.0,29.0
2019-03-11-07:51:06,40.0,29.0
2019-03-11-08:18:39,39.0,29.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:18:39,35.0,30.0
2019-03-11-08:32:39,35.0,30.0
2019-03-11-08:32:39,37.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,36.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,35.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,29.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,34.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
2019-03-11-08:32:39,33.0,30.0
